Job Title,Company,Experience,Level,Salary,Apply Before
Project Manager,Dreamline Construction,More than 1 year,Mid Level,"NRs. 65,000 Monthly","Dec 24, 2025"
Architect,Dreamline Construction,More than 1 year,Mid Level,"NRs. 45,000 Monthly","Dec 24, 2025"
Accountant,Dreamline Construction,More than 1 year,Mid Level,"NRs. 30,000 Monthly","Dec 24, 2025"
Student Service Officer,AIP Education,More than 2 years,Mid Level,More than 2 years,"Dec 24, 2025"
Admission / GS Officer,AIP Education,More than 3 years,Mid Level,More than 3 years,"Dec 24, 2025"
Counselor,Academics Routes Education Consultancy,More than 1 year,Mid Level,"NRs. 30,000 - 50,000 Monthly","Dec 24, 2025"
Agriculture Technical Officer – Regenerative Agriculture and Permaculture,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 50,000 - 70,000 Monthly","Dec 23, 2025"
Customer Service Representative,Goyal Metal Industries,Less than 1 year,Entry Level,Less than 1 year,"Dec 23, 2025"
Junior Odoo Technical Consultant / Associate Developer,Precision Pyramid Nepal,Not Required,Entry Level,N/A,"Dec 23, 2025"
Education Counselor,Education Network,More than 2 years,Mid Level,More than 2 years,"Dec 23, 2025"
Product Manager – Snowman Camera (Indoor),WorldLink Communications,More than 3 years,Mid Level,More than 3 years,"Dec 22, 2025"
MIS Officer,WorldLink Communications,More than 1 year,Mid Level,More than 1 year,"Dec 22, 2025"
Production Executive,Asian Paints (Nepal),More than 2 years,Mid Level,"NRs. 35,000 - 40,000 Monthly","Dec 22, 2025"
Sales Executive,Mero Coding Class,More than 1 year,Entry Level,More than 1 year,"Dec 20, 2025"
Operations Manager,Future Employment Service,More than 4 years,Senior Level,More than 4 years,"Dec 20, 2025"
Senior Officer - Finance and Accounts,Times Business,More than 5 years,Senior Level,More than 5 years,"Dec 20, 2025"
Showroom Hostess,Times Business,More than 1 year,Mid Level,More than 1 year,"Dec 20, 2025"
Engineer – CAD and 3D Modeling,I.S.B. Engineering,Not Required,Entry Level,N/A,"Dec 20, 2025"
Fulfillment Manager,Load Board,More than 5 years,Senior Level,More than 5 years,"Dec 20, 2025"
Head - Research Centre,Ace Group,More than 3 years,Senior Level,More than 3 years,"Jan 05, 2026"
Marketing Officer,Ace Group,More than 1 year,Mid Level,More than 1 year,"Jan 04, 2026"
Program Coordinator / Manager,Ace Group,More than 2 years,Mid Level,More than 2 years,"Jan 03, 2026"
Compliance Officer,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 50,000 - 60,000 Monthly","Dec 19, 2025"
Full Stack Developer,Audit Partnership,More than 2 years,Mid Level,More than 2 years,"Dec 19, 2025"
Documentation Officer,Paradeshi Overseas Services,More than 1 year,Mid Level,More than 1 year,"Dec 17, 2025"
Sales and Marketing Executive,Nameru Trade,More than 1 year,Mid Level,"NRs. 25,000 - 40,000 Monthly","Dec 18, 2025"
Administrator,East West Concern,More than 2 years,Mid Level,More than 2 years,"Dec 17, 2025"
Assistant Relationship Officer,Himal Tea Industries - Rakura Group,Not Required,Entry Level,"NRs. 25,000 - 30,000 Monthly","Dec 17, 2025"
Software Developer,WorldLink Communications,Equal to 2 years,Mid Level,Equal to 2 years,"Dec 17, 2025"
Tele Sales Executive,DHL Express Nepal,More than 1 year,Mid Level,More than 1 year,"Dec 17, 2025"
Infrastructure & Cloud Engineer,Digital Network Solution,More than 3 years,Mid Level,More than 3 years,"Dec 17, 2025"
Project Manager,Digital Network Solution,More than 3 years,Mid Level,More than 3 years,"Dec 17, 2025"
Sales Executive,Inskpire Hub,More than 1 year,Mid Level,More than 1 year,"Dec 17, 2025"
Business Development Manager,Huawei Technologies Nepal,More than 5 years,Senior Level,More than 5 years,"Dec 17, 2025"
Sales Executive (For UK),Same Day Courier,Not Required,Entry Level,"NRs. 100,000 - 120,000 Monthly","Dec 30, 2025"
Communications Coordinator,Women LEAD Nepal,More than 2 years,Mid Level,More than 2 years,"Dec 21, 2025"
Assistant Manager / Operation Supervisor,Stemz Healthcare Center,More than 2 years,Mid Level,"NRs. 50,000 - 60,000 Monthly","Dec 23, 2025"
Saathi Teacher,Helambu Education and Livelihood Partnership,More than 2 years,Mid Level,More than 2 years,"Dec 25, 2025"
Pre-Primary Coordinator (Montessori),Shree Tarapunja English School,More than 2 years,Mid Level,More than 2 years,"Jan 06, 2026"
